2018-06-07 20:42:47,b'Join us Friday...Special Guest-\n.@realDonaldTrump .@POTUS \n.@mflynnJR .@GenFlynn \n.@LisaMei62 .@RealJamesWoods\n.\xe2\x80\xa6 https://t.co/3sfeJtfFGw'
2018-06-07 20:42:20,"b""RT @aroseblush: \xf0\x9f\x87\xba\xf0\x9f\x87\xb8  Donald J Trump &amp; his Legal Advisors are Attempting a Power Grab of our 'Rule of Law', and Deface our Precious Constitut\xe2\x80\xa6"""
2018-06-07 20:41:32,"b'@KatyTurNBC Once again, #realDonaldTrump is wrong!'"
2018-06-07 20:41:28,b'Join us Friday....Exclusive Interview\n.@realDonaldTrump .@POTUS \n.@mflynnJR .@GenFlynn \n.@LisaMei62 .\xe2\x80\xa6 https://t.co/89zbGjnH2P'
2018-06-07 20:41:14,"b'@jules_su The ""Shame of #Indy"" #MikePence is the biggest Suck-Ass EVER!!! #IMPEACHTRUMP &amp; FIRE PENCE #realdonaldtrump......'"
2018-06-07 20:39:59,b'RT @BurgessOwens: Let\xe2\x80\x99s do what Americans do best...WIN!! Call out the Leftist for who they are.. anti-American #NFLBoycott #FoxNews #MakeA\xe2\x80\xa6'
2018-06-07 20:36:11,b'RT @BurgessOwens: Let\xe2\x80\x99s do what Americans do best...WIN!! Call out the Leftist for who they are.. anti-American #NFLBoycott #FoxNews #MakeA\xe2\x80\xa6'
2018-06-07 20:35:58,b'RT @BurgessOwens: Let\xe2\x80\x99s do what Americans do best...WIN!! Call out the Leftist for who they are.. anti-American #NFLBoycott #FoxNews #MakeA\xe2\x80\xa6'
2018-06-07 20:35:54,b'@matthewamiller @MalcolmNance There will be a Korea chapter in the definitive Trump presidential biography that wil\xe2\x80\xa6 https://t.co/V4T4OXbOMu'
2018-06-07 20:34:20,b'RT @AdamBoush: Retweeted Warqpress (@warqpress):\n\nThe International Community is reluctant to put a harness on the dictator of Sudan .. Wha\xe2\x80\xa6'
2018-06-07 20:33:33,b'RT @AdamBoush: Retweeted Warqpress (@warqpress):\n\nSudanese From Darfur region are humans too \xe2\x80\xa2\xe2\x80\xa2 save them \xe2\x80\xa2\xe2\x80\xa2 protect them\n\n#realDonaldTrump\xe2\x80\xa6'
2018-06-07 20:32:29,b'RT @BurgessOwens: Let\xe2\x80\x99s do what Americans do best...WIN!! Call out the Leftist for who they are.. anti-American #NFLBoycott #FoxNews #MakeA\xe2\x80\xa6'
2018-06-07 20:27:53,b'RT @borisbad2: #realDonaldTrump Does this moron know that it was the British and not the Canadians who burned the White House in 1812? Or t\xe2\x80\xa6'
2018-06-07 20:27:30,b'Why is it that the last 2 Republican Presidents appears so stupid? Bush was an idiot. #realdonaldtrump is an idiot.\xe2\x80\xa6 https://t.co/Vv677VS14H'
2018-06-07 20:25:31,b'RT @BurgessOwens: Let\xe2\x80\x99s do what Americans do best...WIN!! Call out the Leftist for who they are.. anti-American #NFLBoycott #FoxNews #MakeA\xe2\x80\xa6'
